listing_type,link,sqm,rooms,description,price,elevator,mamad,parking,views,date_advertised,date_last_seen_active,listing_id,city,neighborhood,street,floor,property_type,ad_number,error
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/d5l29ar4,100,4.0,"ברח חי טייב בנין בוטיק דירת 4 חדרים יפיפיה מטבח משודרג וגדול נוף פתוח 
בניה ברמה גבוהה מרפסת שמש גדולה ,סוכה, ממד 2 חדרי שרותים",6400,True,True,False,,2026-06-25 09:55:26,2026-09-10T18:51:08+00:00,d5l29ar4,בני ברק,נחלת שמעון,הרב חי טייב,2,דירה,84000925,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/i1n3rp9l,90,4.0,בבניין בוטיק ומדוגם דירה עם נוף פתוח בניין מתוחזק ברמה עם דיירים איכותיים לתקופה ארוכה,6400,True,True,False,,2026-08-04 15:59:49,2026-09-10T18:51:08+00:00,i1n3rp9l,בני ברק,תל גיבורים,דב גרונר 56,4,דירה,74793066,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/qt7smkmc,100,4.0,"מטבח ענק חדש לגמרי
חדר רחצה חדר- לבחיר הלקוח!
נוף מהמם חזי 3 כיווני אויר
מרפסת ענקית!!!
חדרים כמו של פעם!!!",6400,False,False,False,,2026-08-17 11:27:50,2026-09-10T18:51:08+00:00,qt7smkmc,בני ברק,גבעת רוקח,רבי עקיבא 15,2,דירה,77928594,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/42pn2l4v,175,3.0,דירה יפה במיקום נוח ללא מדרגות מתאימה לשומרי תורה חניה ומחסן צמוד,6500,True,True,True,,2026-08-30 02:15:42,2026-09-10T18:51:08+00:00,42pn2l4v,בני ברק,שאר העיר,"לח""י 31",0,דירת גן,82309833,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/88xx2dmm,70,4.0,"דירת גג (שאפשר לצאת אליו)בעלת 4 חדרים שטופת שמש אוויר משופצת ממוקמת באזור תעשייה ויכול להיות טובה או למשרד גדול או לשותפים,",6500,True,False,False,,2026-08-26 08:11:06,2026-09-10T18:51:08+00:00,88xx2dmm,בני ברק,אזור תעשיה צפון,ברוך הירש 18,3,דירה,84421715,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/92rhlc64,100,4.0,"דירת 4 חדרים, ברחוב 401 קומה ראשונה, סלון גדול, יחידת הורים, חדשה מקבלן, ממ""ד, שירותים ומקלחת כפולים. סוכה מגג נפתח",6500,True,True,True,,2026-07-14 21:01:02,2026-09-10T18:51:08+00:00,92rhlc64,בני ברק,שאר העיר,"לח""י 5",1,דירה,52481277,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/b65x0kol,110,4.0,"דירה גדולה כמאה + מטרים שמורה ומתוחזקת על ציר הרכבת הקלה בגבול ב''ב רמת גן 
חלוקה מצויינת של החדרים סלון + 2 חדרי שינה גדולים ועוד חדר עבודה +מרפסת + בודעם גדול יכולה להתאים גם ל3 שותפים",6500,True,False,False,,2026-08-18 01:19:43,2026-09-10T18:51:08+00:00,b65x0kol,בני ברק,הר שלום,דרך בן גוריון 31,3,דירה,43539328,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/e0mpeykh,90,3.0,"ברמת אלחנן, בקרבת מוסדות לימוד, בתי כנסת בשפע, ליד גשר גבעת שמואל, מול פינת החי, קרוב לבית חולים מעייני הישועה דירה משופצת 3 חדרים - 90 מטר, פלוס סוכה סגורה וממוזגת - 25 מטר, הדירה בקומה 5 צופה לנוף",6500,True,False,False,,2026-07-19 08:12:14,2026-09-10T18:51:08+00:00,e0mpeykh,בני ברק,,הרב עטיה,5,דירה,81656955,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/hl1mev7p,137,5.0,"דירת 5 חד' מרוהטת להשכרה לטווח קצר של חודשיים, או לתקופת החגים.
ריהוט כמעט מלא,
חזית כולל חניה
פנויה במיידי, סוכה, מיטות חדשות, ארונות, מכונת כביסה,",6500,True,True,True,,2026-09-06 13:15:11,2026-09-10T18:51:08+00:00,hl1mev7p,בני ברק,שאר העיר,"לח""י",4,דירה,43063225,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/lpuf84ot,100,4.0,"4חדרים גדולה מרווחת,שתיי שירותים, ג'קוזי ענק,מטבח נוח,קרוב לקניון רמת גן,קרוב למסר הכל נוח,תחבורה ציבורית גני שעשועים,בתי כנסת ,בתי ספר,גנים",6500,False,True,False,,2026-08-24 22:19:11,2026-09-10T18:51:08+00:00,lpuf84ot,בני ברק,תל גיבורים,יונתן בן שאול 17,3,דירה,46181573,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/sdraa8o0,97,4.0,"אברבנאל 31-35
בניין חדש
2 מעליות
לובי מפואר
קומה שלישית
חזית ממד
4 חדרים
יחידת הורים
מרפסת
97 מטר
אכלוס מיידי
6,500ש""ח",6500,True,True,False,180,2026-08-24 13:25:55,2026-09-10T18:51:08+00:00,sdraa8o0,בני ברק,יסודות,אברבנאל 31,3,דירה,83942867,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/6qln2ltv,110,4.0,"דירה יפה, מתוכננת היטב לפרטים. בניין חדש ויוקרתי, אזור מרכזי ושקט. חזית פתוחה למרחב. מזגן בכל חדר, אפשרות לסורגים",6600,True,True,False,,2026-08-19 20:30:59,2026-09-10T18:51:08+00:00,6qln2ltv,בני ברק,יסודות,אברבנאל 16,4,דירה,76117515,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/rh80jxz8,95,4.0,בהלוחמים בבניין חדש - קומה 3 - חזית - מרפסת שמש - סוכה - -ממוזגת קומפלט - יחידת הורים,6600,True,True,False,,2024-07-30 19:00:58,2026-09-10T18:51:08+00:00,rh80jxz8,בני ברק,גבעת סוקולוב,הלוחמים,3,דירה,64675449,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/j1zdrl20,120,4.0,"דירת 4 חדרים חדשה מהניילונים! מרווחת ביותר 110 מטר פלוס 10 מרפסת. קומה 5 עם נוף פתוח ירוק. רק 2 דירות בקומה ועדיין יש 2 מעליות כמו בבניינים עם 6 דירות בקומה. מרפסת סוכה. יחידת הורים עם חדר רחצה. 2 חדרי רחצה. ממ""ד. מטבח חדש עם ארונות עליונים. רשתות בחלונות. מקלחונים חדשים. 3 מזגנים עצמאיים, אחד בכל חדר שינה. מיני מרכזי בסלון ומטבח. מיקום:מתחם הסופרים בבני ברק, מיקום נגיש וגישה נוחה לצירים מרכזיים",6700,True,False,True,84,2026-09-06 15:18:55,2026-09-10T18:51:08+00:00,j1zdrl20,בני ברק,בני ברק צפון/איילת השחר,רח 601 31,5,דירה,51166738,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/lxbgxlrb,120,5.0,דירה מושקעת מהממת ושמורה מבחינת נקיון ויופי אסתטי. משופצת ברמה הכי גבווה שיש יחידת הורים מקלחת וכו . מזגן בכל חדר ומזגן מיני מרכזי סלון מטבח. מובח חדש לבן צבע בתנור. חניה אחת,6700,True,False,True,,2026-08-16 15:48:51,2026-09-10T18:51:08+00:00,lxbgxlrb,בני ברק,נחלת שמעון,פדרמן 1,2,דירה,43751971,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/0r90nf2i,100,4.5,"איזור מרכזי צמוד לביהמ""ד דחסידי סטריקוב וכולל ברסלב.
דירה ישנה ומרווחת. בעלת 4 כיווני אוויר במחיר חריג בבני ברק",6800,False,False,False,,2026-08-12 22:12:57,2026-09-10T18:51:08+00:00,0r90nf2i,בני ברק,קרית הישיבה,אלשיך 8,2,דירה,82789372,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/exsjhw5h,105,4.0,"דירה מדהימה , מוארת שקטה וממוזגת, יחידת מסטר הורים, אופציה לסוכה, 3 כיווני אויר משופצת מהיסוד 105  מ""ר",6800,False,False,False,,2026-09-08 23:14:04,2026-09-10T18:51:08+00:00,exsjhw5h,בני ברק,"הפועל המזרחי ג', שיכון ג'",יהודית 9,1,דירה,68424931,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/rc5lflxl,120,5.0,"להשכרה במתחם הסופרים צפון בני ברק
דירת 5 חדרים קומה 2 
 * לכיון דרום מערב
* מזגן מרכזי vrf
* הנמכת גבס וספוטים
* מטבח משודרג 
* מקלחון ביחידת הורים
* סוכה מחדר השינה
* מחסן גדול צמוד
* חניה מקורה בטאבו
לפרטים 058.4171073 מזל",6800,True,True,True,,2025-09-18 11:38:56,2026-09-10T18:51:08+00:00,rc5lflxl,בני ברק,,,2,דירה,66526802,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/vcmtzcrh,90,4.0,"מפרטי ללא תיווך
דירה יפיפיה מושקעת מאוד עם מטבח כשר יחידת הורים..סוכה קומה 2
מרכזי קרוב לצירי תנועה בתי כנסת גנים בתי ספר ...כול הקודם זוכה",6800,True,True,False,,2026-08-09 07:36:48,2026-09-10T18:51:08+00:00,vcmtzcrh,בני ברק,נחלת שמעון,הרב חי טייב 2,2,דירה,85736353,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/rz1kpn9r,107,4.0,"בס""ד
דירה בקומה שנייה, לכוון החזית - לכוון הנוף. 
הנמכת גבס עם ספוטים במסדרון הדירה
סלוטים מעוצבים למיזוג הסלון והמטבח.
מזגנים עצמאיים בשני חדרי שינה וממ""ד ממוזג עם שליטה בתריס.
מרפסת סוכה סגורה וממוזגת עם החדר הצמוד.
בכניסה לדירה איזור אחסון בגודל כ 4 מ""ר.
חנייה מקורה
דירה בבניין המפואר של חברת אביסרור, לובי מפואר בגובה 2 קומות עם ספות ושולחן לדיירים והאורחים. 
מסדרונות הקומות מעוצבים ברמה גבוהה",6900,True,True,True,373,2026-08-09 21:09:56,2026-09-10T18:51:08+00:00,rz1kpn9r,בני ברק,בני ברק צפון/איילת השחר,רח 601 20,2,דירה,74118152,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/uofy800m,110,4.5,"בפרוייקט היוקרתי של אביסרור
דירה מהממת וחדשה מהניילון
שכירות לטווח ארוך
בניין בוטיק רק 4 דיירים בקומה  
מטבח משודרג ומזגן בכל הבית 
חניה תת קרקרעית לדירה",6900,True,True,True,,2026-08-04 17:01:24,2026-09-10T18:51:08+00:00,uofy800m,בני ברק,בני ברק צפון/איילת השחר,רח 601 32,5,דירה,73345612,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/vpn674t4,112,4.0,"דירת 4 חד' ללא תיווך ,מתחם הסופרים בני ברק צפון דירה חדשה מקבלן משודרגת.מוארת ויפה. ממ""ד, מזגן מיני מרכזי במטבח ובסלון, מזגן עילי בכל חדר,מטבח משודרג הכולל ארונות עליונים עד התקרה, מרפסת סוכה מחדר ההורים, יחידת הורים גדולה ומרווחת הכוללת מקלחת ושירותים,מרפסת נוספת מהסלון, רשת יונים במסתור כביסה, חניה תת קרקעית קרובה לכניסה לבניין, סמוך לגשר וקרוב ליציאה מהשכונה, קרובה לבית כנסת, מקווה,בריכה ותחב""צ",6900,True,True,True,,2026-05-12 22:51:32,2026-09-10T18:51:08+00:00,vpn674t4,בני ברק,בני ברק צפון/איילת השחר,רח 600 6,4,דירה,48483917,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/3uinr9yu,120,5.0,"להשכרה!
במתחם הסופרים
דירת 5 חד' משודרגת 
 קומה 3,חזית!
עם מרפסת שמש
 חניה מקורה
 + מחסן צמוד לדירה
מזגנים בכל חדר 
+ מיני מרכזי,
 יחידת הורים
 סורגים ורשתות בכל הבית קאנטרי במרחק הליכה
ב7,000ש""ח
",7000,True,True,True,,2026-07-28 14:14:56,2026-09-10T18:51:08+00:00,3uinr9yu,בני ברק,,"לח""י",3,דירה,82123022,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/5ifs2sug,100,4.5,"דירה נדירה!
סלון ענק שמורכב מ2 חדרים, לפינת אוכל ולפינת ישיבה, מרווח ויפה.
מטבח ענק! יפה ומתוחזק. 
דוד שמש. 
דירה במיקום שקט אך מאוד מרכזי. 
ליד תחנות אוטובוס, מוסדות לימוד ובתי כנסת. מאסטר הורים+יחידת הורים מפנקת. 
כמובן מזגנים מצוינים בכל חדר",7000,False,False,False,,2026-08-26 15:11:56,2026-09-10T18:51:08+00:00,5ifs2sug,בני ברק,"הפועל המזרחי ה', שיכון ה'",אהרונוביץ' 35,1,דירה,66747304,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/7i7eyhmw,90,4.0,"בנין חדש ושמור  אוכלס לפני 5 שנים דירה יפה
 טיפה גמיש במחיר",7000,True,True,False,,2026-08-29 23:18:18,2026-09-10T18:51:08+00:00,7i7eyhmw,בני ברק,,רבי עקיבא,5,דירה,61500502,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/airpfwg1,90,4.0,"דירה שעברה שיפוץ מקיף. 
3 חדרי שינה גדולים
2 מקלחות ושירותים.
מטבח חדש ומרווח
השכרה לטווח ארוך בלבד",7000,False,False,False,,2026-09-03 15:38:44,2026-09-10T18:51:08+00:00,airpfwg1,בני ברק,קרית הרצוג,הרב נורוק 30,2,דירה,48679215,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/at96ee5e,90,3.0,"תיווך .השכרה, דירה, קומה 4, בני ברק מקום שקט דירה מרווחת",7000,True,True,False,269,2026-08-24 11:36:45,2026-09-10T18:51:08+00:00,at96ee5e,בני ברק,שיכון ההסתדרות,גולומב,4,דירה,42552213,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/nod1ni5i,90,4.0,"2 דירות באותו קומה חזית ועורפית, איזור מעולה, בניין חדש, מחיר מצווין",7000,True,True,False,,2026-09-01 13:52:31,2026-09-10T18:51:08+00:00,nod1ni5i,בני ברק,"הפועל המזרחי ה', שיכון ה'",,2,דירה,44500933,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/tomlayon,95,4.0,"להשכרה דירת פנטהוז חדשה מקבלן 
3 חדרים בקומה 7 עם מעלית- חדשה מרווחת, וברמת גימור גבוהה.

פרטי הדירה:
2 חדרי שינה וסלון
2 מרפסות שמש מרווחות
2 חדרי שירותים
מטבח כשר ומשודרג
מקום ל2 כיורים ו2 תנורים 
הכנה לקולט אדים ולמדיח
ממ""ד
מזגן אלקטרה אינוורטר בכל חדר
סורגים בכל החלונות

7,000ש""ח לחודש
כניסה מייידת

יש אפשרות לחניה ו/או מחסן- בתוספת תשלום",7000,True,True,False,,2026-09-02 14:18:35,2026-09-10T18:51:08+00:00,tomlayon,בני ברק,נחלת שמעון,הרב חי טייב 9,7,גג/ פנטהאוז,47723679,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/yluxvmn5,130,5.0,"דירת 5 חדרים חדשה(בת שנה), קומה 6, דרום-מזרח עם נוף פתוח, 112 מ""ר + מרפסת שמש 12 מ""ר פתוחה לשמיים. 5 חדרים משודרגת ברמה גבוהה, מטבח משודרג, תאורת לד בכל הדירה, דוד שמש עם מתג חכם, רשתות, מזן מיני מרכזי ועילי בכל חדר, 2 חדרי רחצה כוללים מקלחון ואמבטיון, 3 שירותים ודלת נוספת בממ""ד. כוללת מחסן 7 מ""ר צמוד לדירה עם מדפים מודלרים וחניה מקורה קרובה למעלית, מחיר לשנתיים ללא העלאה. ללא תיווך. כניסה ב 1.11",7200,True,True,True,,2026-09-06 17:17:21,2026-09-10T18:51:08+00:00,yluxvmn5,בני ברק,בני ברק צפון/איילת השחר,רח 601 5,6,דירה,46563409,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/0ckn63j0,200,4.0,"דירת 4 חדרים מרווחת כ-100 מ""ר, בקומת קרקע, חדשה מקבלן היתה בשימוש כשנה וחצי בלבד.
הדירה כוללת:
יחידת הורים מרווחת
 מחסן צמוד עם אפשרות לשימוש כחדר נוסף / משרד
 חניה פרטית
 3 כיווני אוויר - מוארת ומאווררת
 חצר ענקית של מעל 110 מ""ר - מרחב נדיר",7300,True,True,True,189,2026-08-26 14:43:39,2026-09-10T18:51:08+00:00,0ckn63j0,בני ברק,שאר העיר,"לח""י 39",0,דירת גן,55245892,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/tgokrz76,121,5.0,"השכרה, דירה, קומה 6, בני ברק
מיקום מרכזי ונגיש במתחם המתחדש של בני ברק - בקרבת פארקים, תחבורה ציבורית, מוסדות חינוך ומרכזי קניות.
",7300,True,True,False,,2026-09-02 13:43:27,2026-09-10T18:51:08+00:00,tgokrz76,בני ברק,בני ברק צפון/איילת השחר,רח 600 3,6,דירה,49015503,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/15rqx8eb,150,5.0,"מזגנים בכל החדרים, שעון שבת, בית משופץ, מטבח חדש, הבית קרוב לרכבת הקלה, קופת חולים, תלמודי תורה, יש חסד. לבית יש פוטנציאל עצום להשקעה. שווה לבוא להתרשם",7500,True,False,True,,2026-09-03 00:27:33,2026-09-10T18:51:08+00:00,15rqx8eb,בני ברק,פרדס כץ,אוסישקין 3,4,גג/ פנטהאוז,45288626,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/4zclxlk3,100,4.0,דירה גדולה מרווחת חזית לשדרה ירוקה מפוארת מוארת פסטורלית בנין חדיש,7500,True,True,True,,2026-07-24 12:57:10,2026-09-10T18:51:29+00:00,4zclxlk3,בני ברק,"הפועל המזרחי ה', שיכון ה'",שדרות זבולון המר 14,3,דירה,59539445,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/a0pjwa8c,100,4.0,"בבלעדיות במחיר אטרקטיבי!!
 דירה 4 חדרים חדשה יפיפיה ומרווחת מהנילונים 
בנין חדש ויוקרתי סלון לחוד, מטבח לחוד גדול מרווח  ומשודרג + סוכה + ממד + מרפסת מהסלון 
2 מעליות בבנין  אפשרות לחניה בתוספת תשלום
כניסה ב1/3/26",7500,True,True,False,,2025-10-27 16:43:51,2026-09-10T18:51:29+00:00,a0pjwa8c,בני ברק,"הפועל המזרחי ה', שיכון ה'",הרב גוטמכר,1,דירה,99314728,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/jgyw4t2o,120,5.0,דירה משופצת חלקית,7500,False,False,False,,2026-08-30 11:17:07,2026-09-10T18:51:29+00:00,jgyw4t2o,בני ברק,קרית ויז'ניץ,דמשק אליעזר,3,דירה,64110949,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/wpkmm1pr,100,4.0,דירה  4 חדרים שמורה ויפה קומה א עם חניה רחוב שקט ונחמד,7500,False,False,True,,2026-09-07 14:23:54,2026-09-10T18:51:29+00:00,wpkmm1pr,בני ברק,,,1,דירה,46585860,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/dk1llxwt,101,5.0,"דירה מרווחת 100 מ""ר 5 חדרים (2 קטנים)מצב טוב מאוד, מזגנים חדשים, איזור שקט ורגוע",7700,True,False,True,,2026-08-18 13:31:49,2026-09-10T18:51:29+00:00,dk1llxwt,בני ברק,הר שלום,נתן הנביא 5,1,דירה,55288481,
rent,https://www.yad2.co.il/realestate/item/center-and-sharon/j938jnw8,90,4.0,דירה חדשה ומהממת עם יחידת הורים ומרפסת שמש מלבד הסוכה כולל חניה,7700,False,True,True,,2026-08-26 12:20:24,2026-09-10T18:51:29+00:00,j938jnw8,בני ברק,,"שח""ל",1,דירה,53893336,
