origin,listing_type,listing_id,title,price,price_raw,city,condition,series,manufacturer,processor,ram,storage,screen_size,description,date_advertised,date_last_seen_active,latitude,longitude,link,views,ad_number,error
yad2,macbook,9075705151548,מקבוק אייר M2,2400,"2,400 ₪",ירושלים,כמו חדש,MacBook Air,Apple,M2,,,,"לפטופ פשוט מדהים, M2, נפח 256. שמור מאוד. היה בקייס. מהיר מאוד. שימוש קל (עבודה משרדית). ירושלים, מרכז העיר (דווידקה).",,2026-09-11T11:36:56+00:00,,,https://www.yad2.co.il/market/item/9075705151548,,,
yad2,macbook,9068817612860,Macbook neo 512gb silver,2500,"2,500 ₪",ירושלים,כמו חדש,MacBook,Apple,,,512GB,,"מקבוק ניאו 512 גיגה מגיע עם אחריות רשמית לשנה עד ה 9/2027 בנוסף המטען הקופסה וכל השאר. בריאות סוללה 100אחוז מגיע בנוסף עם עכבר תומך בלוטוס שחור ותיק נסיעה במתנה, גמיש במחיר. המחשב לא שומש יותר מ10 שעות במתצתבר",,2026-09-11T11:36:56+00:00,,,https://www.yad2.co.il/market/item/9068817612860,,,
yad2,macbook,8997456052284,Macbook Pro M1 Max,4699,"4,699 ₪",כפר יונה,כמו חדש,MacBook Pro,Apple,M1 Max,32GB,1טרה,,"מקבוק פרו בגודל 16 אינצ׳ בעל מעבד m1 max ( המעבד המשודרג) 32גיגה ראם 10 core cpu + 32 core gpu נפח איחסון 1 טרה שמור מאוד! מגיע עם מטען מקורי 140w כולל כבל טעינה מקורי MagSafe גמיש לרציניים, זמין לשאלות בווצאפ בלבד נמכר עקב קבלת מחשב מהעבודה",,2026-09-11T11:36:56+00:00,,,https://www.yad2.co.il/market/item/8997456052284,,,
yad2,macbook,9003086184508,MacBook Pro 14 M4 48GB/512GB,8000,"8,000 ₪",כפר יונה,כמו חדש,MacBook Pro,Apple,M4,48GB,512GB,,"היה בשימוש במשך כ 6 חודשים, במצב מצויין כמו חדש (ללא שריטות או סימני שימוש על הכפתורים). מחזורי טעינה נמוכים (46), בריאות סוללה 96%. מגיע עם כל האביזרים המקוריים - ראש מטען, כבל, קופסא. נמכר עקב שידרוג המחשב במסגרת העבודה. צבע - Space Black.",,2026-09-11T11:36:56+00:00,,,https://www.yad2.co.il/market/item/9003086184508,,,
yad2,macbook,9074050105404,Macbook air 8 ram 512 ssd,2100,"2,100 ₪",נשר,כמו חדש,MacBook Air,Apple,,,,,שמור מאוד ללא תקלות או תיקונים.,,2026-09-11T11:36:56+00:00,,,https://www.yad2.co.il/market/item/9074050105404,,,
yad2,macbook,9074952241212,MacBook Neo A18 Pro Chip מחשב,2400,"2,400 ₪",נתניה,חדש באריזה,MacBook Pro,Apple,,,512GB,,MacBook Neo 512GB למכירה חדש לחלוטין רק נפתח ולא נעשה בו שום שימוש 512GB אחסון כולל טביעת אצבע כולל אחריות KSP חדש וללא שימוש מחיר חדש כיום ב KSP כ 3000 שקל מחיר 2400 שקל גמיש מעט לרציניים הזדמנות לקנות מחשב חדש ולחסוך כ 600 שקל ממחיר החנות!,,2026-09-11T11:36:56+00:00,,,https://www.yad2.co.il/market/item/9074952241212,,,
yad2,macbook,9066609901628,מצב חדש Macbook air m2 16gb,3000,"3,000 ₪",נתניה,כמו חדש,MacBook Air,Apple,m2,16GB,512GB,,"במצב חדש, היה בשימוש חודש בלבד. כולל מטען מקורי, Macbook air מקבוק אייר 13 זכרון 16gb דיסק 512gb מסך 13 מעבד M2",,2026-09-11T11:36:56+00:00,,,https://www.yad2.co.il/market/item/9066609901628,,,
yad2,macbook,9074998509628,MacBook Air M3 15״,3600,"3,600 ₪",נתניה,כמו חדש,MacBook Air,Apple,M3,8GB,512GB,15,"מסך 15 אינץ׳ – הדגם הגדול מעבד Apple M3 זיכרון RAM: 8GB אחסון: 512GB בריאות סוללה: 96% מצב חיצוני: חדש נקנה לפני כשנה יבואן רשמי מגיע עם מטען מקורי מגיע עם האריזה המקורית המחשב במצב מצוין, שמור מאוד ועובד ללא תקלות.",,2026-09-11T11:36:56+00:00,,,https://www.yad2.co.il/market/item/9074998509628,,,
yad2,macbook,9075466076220,Macbook air 15 inch M5,5400,"5,400 ₪",נתניה,כמו חדש,MacBook Air,Apple,,16GB,512GB,,"Macbook 15 inch M5 למכירה 512GB זיכרון 16 GB RAM בצבע midnight blue חדש חדש, היה בשימוש מספר פעמים בודדות. מוכר עקב אי התאמה שלי למערכת של אפל( לצערי) מגיע עם דבקת מסך פרטיות ומגן קשיח למחשב עצמו",,2026-09-11T11:36:56+00:00,,,https://www.yad2.co.il/market/item/9075466076220,,,
yad2,macbook,9050442596412,Macbook pro,6500,"6,500 ₪",עינת,כמו חדש,MacBook Pro,Apple,M4 pro,24GB,512GB,,"מאקבוק פרו 14 inch M4 pro 24 GB RAM 512 GB SSD צבע כסוף היה בשימוש באיזור ה 8 חודשים, במצב כמו חדש שמור מאוד גמיש לרציניים",,2026-09-11T11:36:56+00:00,,,https://www.yad2.co.il/market/item/9050442596412,,,
yad2,macbook,9074246221884,MacBook Pro 16 2019 i9 / 16GB,3000,"3,000 ₪",קרית אונו,משומש,MacBook Pro,Apple,i9,16GB,1TB,16,"### MacBook Pro 16״ 2019 – i9 / 16GB / 1TB למכירה MacBook Pro 16 אינץ׳ משנת 2019, במצב טוב ושמור. **מפרט:** * מעבד Intel Core i9, 8 ליבות, 2.3GHz * זיכרון 16GB DDR4 * אחסון SSD בנפח 1TB * מסך Retina 16״ * Touch Bar * סוללה במצב **Normal** * 336 מחזורי טעינה בלבד * macOS מותקן ומוכן לעבודה המחשב עובד מצוין ונמכר עקב חוסר שימוש. **ללא מטען.** מחיר: **3,000 ₪** איסוף מקריית אונו או מתל אביב.",,2026-09-11T11:37:12+00:00,,,https://www.yad2.co.il/market/item/9074246221884,,,
yad2,macbook,8981858746428,MacBook Air M2,2800,"2,800 ₪",קרית גת,כמו חדש,MacBook Air,Apple,M2,8GB,512GB,,"הזדמנות נדירה! MacBook Air M2 8GB/512GB במצב שקשה למצוא. אני גיק של אפל, והמחשב נשמר באהבה ובקפדנות מהרגע הראשון – ממש כמו בן משפחה. נראה ומרגיש כמו חדש, ללא שריטות, מעולם לא נפל ומעולם לא עבר תיקון. בריאות סוללה 87%! כולל המטען והכבל המקוריים, ומי שיבקש יפה אולי יקבל גם את הקופסה המקורית. נמכר רק בגלל שדרוג למחשב חדש. גמיש במחיר לרציניים.",,2026-09-11T11:37:12+00:00,,,https://www.yad2.co.il/market/item/8981858746428,,,
yad2,macbook,9066195124284,MacBook Pro 13״ i7 16GB 500GB,1100,"1,100 ₪",ראשון לציון,דרוש תיקון/שיפוץ,MacBook Pro,Apple,i7,16GB,500GB,13,"למכירה מחשב מקבוק פרו 13 אינץ׳. המחשב עבר איפוס מלא והתקנה מחדש של מערכת ההפעלה ומוכן להגדרה למשתמש חדש. כולל קופסה מקורית. חשוב: קיימים פסים במסך, אך המחשב עובד ומתפקד כרגיל. מחיר: 1,100 ש״ח, גמישה מעט לרציניים",,2026-09-11T11:37:12+00:00,,,https://www.yad2.co.il/market/item/9066195124284,,,
yad2,macbook,8704035881020,MacBook Pro,7500,"7,500 ₪",ראשון לציון,כמו חדש,MacBook Pro,Apple,M3,18GB,,,"MacBook Pro 14 כמו חדש! בריאות הסוללה 100! ושמור בקנאות. ללא שריטות או סדקים. מפרט טכני ואביזרים: מעבד פרו M3 זיכרון 18GB אחסון 1T SSD צבע Space Gray. כולל שני כיסויי הגנה איכותיים למחשב, מטען מקורי, ועכבר אלחוטי מקורי במצב חדש! בבעלותי רק כשנה. מציע כזו לא תמצאו אצל אף אחד אחר. מומלץ לראות! בחום!",,2026-09-11T11:37:12+00:00,,,https://www.yad2.co.il/market/item/8704035881020,,,
yad2,macbook,9008611950652,"MacBook Pro 14"" (2021)",3200,"3,200 ₪",רמת גן,משומש,MacBook Pro,Apple,M1 Pro,16GB,500GB,14,"למכירה MacBook Pro 14"" (2021) במצב מעולה ושמור מאוד. מעבד Apple M1 Pro, זיכרון 16GB RAM ואחסון מהיר SSD 500GB. סוללה שמורה ומצויינת (88% בריאות, 241 מחזורים). מסך Liquid Retina XDR מרהיב, מקלדת בעברית/אנגלית, עובד חלק ומהיר כמו חדש. מגיע עם מטען מקורי. מעולה לעריכה, תכנות ולימודים. מחיר: 3,500 ש""ח (גמיש קל לרציניים).",,2026-09-11T11:37:12+00:00,,,https://www.yad2.co.il/market/item/9008611950652,,,
yad2,macbook,9053602447420,מחשב נייד אפל מק אייר 15.3,3200,"3,200 ₪",רמת גן,כמו חדש,MacBook Air,Apple,,,,,מ2024 כמעט ולא היה בשימוש עם מגן מסך ומגן גוף בריאות הסוללה 97% שמור מאוד כחדש,,2026-09-11T11:37:12+00:00,,,https://www.yad2.co.il/market/item/9053602447420,,,
yad2,macbook,9073977983036,Macbook pro,1800,"1,800 ₪",רמת השרון,כמו חדש,MacBook Pro,Apple,M1,8GB,512GB,,"מקבוק פרו מגיע אם שקע, מטען וקופסא מעבד M1 בריאות סוללה 98% 8GB 13.3 inch נפח אחסון 512GB אפשרות להוסיף magic mouse 2",,2026-09-11T11:37:12+00:00,,,https://www.yad2.co.il/market/item/9073977983036,,,
yad2,macbook,9074004983868,macbook m3,6100,"6,100 ₪",רעננה,כמו חדש,MacBook Pro,Apple,m3,36GB,1TB,16,"למכירה מקבוק פרו 16 אינץ' (M3 Pro - 36GB RAM - 1TB SSD). מחשב שמור, מצב סוללה נדיר - רק 138 מחזורי טעינה, בריאות סוללה 99%. מחשב חזק ומהיר לעבודה מקצועית עריכה ויצירה. נמכר עקב חוסר שימוש. המחשב מגיע עם כבל טעינה MagSafe 3 מקורי של אפל חדש באריזה סגורה. אפשר להשאיר הודעה. לא בשבת",,2026-09-11T11:37:12+00:00,,,https://www.yad2.co.il/market/item/9074004983868,,,
yad2,macbook,9005322633276,MacBook מק בוק,1300,"1,300 ₪",תל אביב יפו,כמו חדש,MacBook,Apple,,,,,מק בוק מקורי במצב מושלם נראה חדש לגמרי שמור בצורה הכי טובה שיש,,2026-09-11T11:37:12+00:00,,,https://www.yad2.co.il/market/item/9005322633276,,,
yad2,macbook,9070673199164,מחשב Mac book,2100,"2,100 ₪",תל אביב יפו,כמו חדש,MacBook Pro,Apple,,,,,"מחשב mac book neo A18 Pro במצב חדש לגמרי !! נקנה מלפני חודשיים נעשה בו שימוש גג שלוש ארבע פעמים . בצבע כחול כהה אין עליו שריטות ממש במצב חדש לחלוטין. יש בו כ256 GB עם חיבור Type C , מגיע עם תיק צד למחשב . גמיש מעט לרציניים בלבד",,2026-09-11T11:37:12+00:00,,,https://www.yad2.co.il/market/item/9070673199164,,,
yad2,macbook,9074208735292,Macbook Air M1 500 GB,2200,"2,200 ₪",תל אביב יפו,משומש,MacBook Air,Apple,M1,16GB,500GB,13,מחשב נייד לפטופ מקבוק אייר m1 מסך 13״ Macbook Air M1 2020 16 GB RAM 512 GB Storage במצב מצוין - היה בשימוש פעמים בודדות מעט פגמים קוסמטיים. סוללה 84%,,2026-09-11T11:37:26+00:00,,,https://www.yad2.co.il/market/item/9074208735292,,,
yad2,macbook,9076607221820,(MacBook Pro 16'' M1 Max (2021,2250,"2,250 ₪",תל אביב יפו,משומש,MacBook Pro,Apple,M1 Max,32GB,1TB,,"מפרט עשיר: מעבד חזק M1 Max, זיכרון 32GB RAM וכונן 1TB SSD עם בריאות סוללה 92%. שימו לב - נמכר במחיר מוזל עקב פגם במסך: יש פס שחור בצד שמאל של המסך (ראו תמונות). בנוסף יש שפשופים קלים בפינות המארז (קוסמטי בלבד). המחשב עצמו עובד בצורה מושלמת וחלקה. אידיאלי למי שרוצה ביצועי קצה במחיר רצפה, מעולה לשימוש כמחשב נייח מחובר למסך חיצוני (Clamshell mode) או למי שהפס לא מפריע לו.",,2026-09-11T11:37:26+00:00,,,https://www.yad2.co.il/market/item/9076607221820,,,
yad2,macbook,9074017828924,MacBook Pro 13 (2020),2500,"2,500 ₪",תל אביב יפו,כמו חדש,MacBook Pro,Apple,i7,16GB,512GB,13.3,מקבוק פרו שמור מאוד ובמצב מעולה. דגם משודרג (A2251) עם 4 יציאות Thunderbolt 3 (לעומת 2 בדגם הבסיס) ומערכת קירור כפולה ועוצמתית יותר. מעבד: Intel Core i7 Quad-Core 2.3 GHz (דור 10) זיכרון: 16GB (3733MHz) - מעולה למתכנתים וריבוי משימות אחסון: 512GB SSD מהיר מסך: 13.3 אינץ' Retina עם True Tone ובהירות 500 nits מקלדת: Magic Keyboard עם Touch Bar ו-Touch ID חיבורים: 4 פורטים Thunderbolt 3 (USB-C),,2026-09-11T11:37:26+00:00,,,https://www.yad2.co.il/market/item/9074017828924,,,
yad2,macbook,9075315507260,Macbook Air 15 inch M3,2700,"2,700 ₪",תל אביב יפו,כמו חדש,MacBook Air,Apple,M3,8GB,256GB,15,"מקבוק אייר 15 אינץ׳ Macbook Air 15 inch M3 (2024) Space Gray 8GB RAM, 256GB SSD כחדש 68 מחזורי טעינה בריאות סוללה 100% ללא שריטות או פגמים מוכר כי משתמש במחשב מהעבודה",,2026-09-11T11:37:26+00:00,,,https://www.yad2.co.il/market/item/9075315507260,,,
yad2,macbook,9076555022396,"מקבוק M5, 24,1t בן חודש",6980,"6,980 ₪",תל אביב יפו,חדש באריזה,MacBook Pro,Apple,,,,,"מקבוק פרו 14 מעבד חזק מ5 24 זיכרון ,טרה אחסון חדש בן חודש עם אחריות של כמעט שנה מאפל, מגיע עם מטען וכבל מקורי תנדרבולט. 100 אחוז סוללה מחזיקה 23 שעות , 3 מחזורי טעינה, מוכן להחלפה על מחשב דומהרק מקס עם 128 ראם בתוספת תשלום מצידי",,2026-09-11T11:37:26+00:00,,,https://www.yad2.co.il/market/item/9076555022396,,,
yad2,macbook,9068632997948,"MacBook Pro (14.2″, M5, 2026)",9300,"9,300 ₪",תל אביב יפו,חדש באריזה,MacBook Pro,Apple,,48GB,1TB,,"MacBook Pro M5 (Z1ML0013Z) / 48GB Ram / 1TB SSD מחשב חדש באריזה לא נפתח מעולם! נרכש מהייטקזון באוגוסט 2026 עדיין באחריות יבואן רשמי IconGroup עד אוגוסט 2027, מעבד בעל 15 ליבות, מעבד גרפי בעל 16 ליבות, צבע - Space Black, מקלדת מאורת עברית / אנגלית *אופציה לרכוש את העכבר והמקלדת של אפל בתופסת תשלום!*",,2026-09-11T11:37:26+00:00,,,https://www.yad2.co.il/market/item/9068632997948,,,
facebook,macbook,1816382869708043,MacBook Pro 13-inch,800,800 ₪,גני תקווה,משומש - במצב טוב,MacBook Pro,Apple,,,,,"MacBook Pro 13-inch
לא נעשה בו שימוש כמעט.
מצב מצויין
נמכר עקב חוסר שימוש","פורסם אתמול ב: גני תקווה, פתח תקווה",2026-09-12T10:00:32.894527+00:00,32.079122361385,34.816444062735,https://www.facebook.com/marketplace/item/1816382869708043/,,,
facebook,macbook,1592584212218593,"MacBook M4 Pro 48GB 14""",7500,"7,500 ₪",תל אביב - יפו,משומש - כמו חדש,MacBook Pro,Apple,M4 Pro,48GB,512GB,14,"מחשב מקבוק פרו עם זכרון מורחב. כמו חדש.
היה בשימוש משרדי מועט מאד. נמכר בעקבות קבלת מחשב מהעבודה.
מעבד Apple M4 Pro (12-core CPU, 16-core GPU)
מסך 14 אינץ׳
זכרון 48GB
כונן קשיח 512GB SSD
בטריה במצב מעולה 100% - 77 מחזורי טעינה בלבד","פורסם לפני 3 שבועות ב: תל אביב - יפו, תל אביב",2026-09-12T10:00:32.894527+00:00,32.079122361385,34.816444062735,https://www.facebook.com/marketplace/item/1592584212218593/,,,
facebook,macbook,2383620995507429,MacBook pro 16” M4 Pro 1Tb 48 Ram מקבוק פרו,8600,"8,600 ₪",תל אביב - יפו,משומש - כמו חדש,Apple MacBook Pro,Apple,M4 Pro,48GB,1TB,,"MacBook pro
Chip M4 Pro
Screen size: 16”
1TB אחסון SSD
48GB RAM!!
💯% בריאות סוללה
במצב חדש. מגיע עם מטען מקורי 140W וכבל מגסייף.
מתאים מאוד לעבודה עם Ai ותוכנות שדורשות מהירות ביצוע מקסימלית.
איסוף מתל אביב.
המחשב מוכן לשימוש מיידי (לאחר פירמוט.","פורסם אתמול ב: תל אביב - יפו, תל אביב",2026-09-12T10:00:32.894527+00:00,32.079122361385,34.816444062735,https://www.facebook.com/marketplace/item/2383620995507429/,,,
facebook,macbook,2507895619714009,MacBook Pro 13 2017,500,500 ₪,תל אביב - יפו,משומש - במצב סביר,MacBook Pro,Apple,i7,16GB,,13,"לפטופ MacBook Pro בגדול 13 אינץ׳ מדגם 2017. מעבד i7 עם 16 גיגה זיכרון ו128 אחסון.
יש בעיה שהבטריה פורקת, חוץ מזה עובד מעולה.
נמכר ללא מטען
איסוף מתל אביב.","פורסם לפני שבוע ב: תל אביב - יפו, תל אביב",2026-09-12T10:00:32.894527+00:00,32.079122361385,34.816444062735,https://www.facebook.com/marketplace/item/2507895619714009/,,,
facebook,macbook,1586017269376148,MacBook Pro 16 Inch 2019,800,800 ₪,פתח תקווה,משומש - במצב טוב,MacBook Pro,Apple,,4GB,,,"תקלה במסך בגלל מכה, לא עובד, פרט לכך המחשב סופר חזק ושמור והמקלדת באנגלית.
כולל:
כרטיס מסך AMD Radeon Pro 5500M 4GB
בתיאום מראש ניתן לאסוף מפתח תקווה, תל אביב, הרצליה או באר שבע","פורסם לפני 2 ימים ב: פתח תקווה, ישראל",2026-09-12T10:00:32.894527+00:00,32.079122361385,34.816444062735,https://www.facebook.com/marketplace/item/1586017269376148/,,,
facebook,macbook,1060023570343482,"Apple MacBook Air 15 M4, 256GB SSD,16GB חדש לגמריי למכירה מקבוק אייר 15 באחריות עד אפריל 27 3600₪",3600,"3,600 ₪",תל אביב - יפו,חדש,MacBook Air,Apple,M4,16GB,256GB,,"---3609₪ מחיר אחרון, לא להחלפה! בבקשה לא לפנות סתם---
חדש לחלוטין וללא שריטה
היה בשימוש שעות בודדות
אחריות יבואן רשמי מעבדות DCS עד אפריל 27
100% בריאות סוללה, 14 מחזורי טעינה
צבע תכלת גודל 15' אינץ'
מוכר כי רוצה לחזור לווינדוס
איסוף מהצפון הישן בתל אביב
יינתן מספר סריאלי לרציניים
למפרט המלא: https://www.apple.com/il/macbook-air/","פורסם לפני 2 ימים ב: תל אביב - יפו, תל אביב",2026-09-12T10:00:32.894527+00:00,32.079122361385,34.816444062735,https://www.facebook.com/marketplace/item/1060023570343482/,,,
facebook,macbook,1714291893204887,MacBook Pro 13״ M1 16GB RAM | 1TB SSD,1900,"1,900 ₪",פתח תקווה,משומש - כמו חדש,MacBook Pro,Apple,M1,16GB,1TB,13,"למכירה MacBook Pro 13״ M1
16GB RAM | 1TB SSD
שמור מאוד, ללא שריטות או מכות.
בריאות סוללה 96%
המחשב עובד מצוין, התקלה היא בכבל המסך הפנימי ולכן המסך מרצד/לא תקין.
עובד חצי מסך
בחיבור למסך חיצוני עובד רגיל.","פורסם לפני 5 ימים ב: פתח תקווה, ישראל",2026-09-12T10:00:32.894527+00:00,32.079122361385,34.816444062735,https://www.facebook.com/marketplace/item/1714291893204887/,,,
facebook,macbook,1740095050550655,MacBook Air M1,1450,"1,450 ₪",תל אביב - יפו,משומש - כמו חדש,MacBook Air,Apple,M1,,256GB,,"MacBook Air M1 2020
8/256gb
מצב חדש לגמרי
ללא פגמים קוסמטיים
Cycle Count: 219
Condition: Normal
Maximum Capacity: 84%
מגיע עם מטען וכיסוי שקוף ששומר עליו
1450₪
איסוף תל אביב או איירפורט סיטי","פורסם לפני 3 ימים ב: תל אביב - יפו, תל אביב",2026-09-12T10:00:32.894527+00:00,32.079122361385,34.816444062735,https://www.facebook.com/marketplace/item/1740095050550655/,,,
facebook,macbook,1964761174200379,"MacBook Pro M1 Pro 14"" 512 GB 16 GB RAM",2500,"2,500 ₪",תל אביב - יפו,משומש - במצב טוב,MacBook Pro,Apple,M1 Pro,16GB,512GB,14,"MacBook Pro 14"" 512 GB, 16GB RAM למכירה, איסוף מתל אביב. מקלדת פריסה אמריקאית ללא חריטה בעברית","פורסם לפני 33 דקות ב: תל אביב - יפו, TA",2026-09-12T10:00:32.894527+00:00,32.079122361385,34.816444062735,https://www.facebook.com/marketplace/item/1964761174200379/,,,
facebook,macbook,1263874995736419,MacBook Air M1 | מצב מצוין,2000,"2,000 ₪3,200 ₪",תל אביב - יפו,משומש - כמו חדש,MacBook Air,Apple,M1,16GB,256GB,,"למכירה מקבוק אייר במצב מצוין, בשימוש אישי ושמור.
מפרט טכני:
• דגם: MacBook Air (M1, 2020)
• מעבד: Apple M1
• זיכרון: 16GB RAM (הגרסה המשודרגת!)
• אחסון: 256GB SSD
• מסך: 13.3” Retina ברזולוציית 2560x1600
• צבע: rose gold
איסוף מתל אביב","פורסם לפני 16 שבועות ב: תל אביב - יפו, תל אביב",2026-09-12T10:00:32.894527+00:00,32.079122361385,34.816444062735,https://www.facebook.com/marketplace/item/1263874995736419/,,,
facebook,macbook,1746818456659482,Apple Macbook Pro M2 13” Touchbar English Keyboard / Partial Backlight 16GB 256GB מקבוק פרו,1800,"1,800 ₪2,200 ₪",תל אביב - יפו,משומש - כמו חדש,MacBook Pro,Apple,M2,16GB,256GB,,"Only question : where and where to purchase. Thanks
Price is final מחיר סופי
Macbook Pro M2 13” with Touchbar
💡English Only Keyboard
💡Partial Keyboard Backlight (block in the middle of keyboard with no / weak
backlight)
💡Added all pictures of cosmetic imperfections
Charger included
16GB RAM
256GB SSD
89% Battery
Selling due to relocation
Cash only
Located in Tel Aviv - Bavli
הצגת התרגום","פורסם לפני 3 שבועות ב: תל אביב - יפו, תל אביב",2026-09-12T10:00:32.894527+00:00,32.079122361385,34.816444062735,https://www.facebook.com/marketplace/item/1746818456659482/,,,
